Material,Material2,LIST PRICE,MRP PRICE,TYPE,FINISH,billing price,STOCK,Box Qty,Carton,brand,Make,Model,Year Start,Year End,Segment,Single Video URL,Multiple Media(semicolon-separated,most_selling,sales_volume,sales_value,zone,region,hsn,kolkata stock,Product Sub Group,Product Group
0425890633J,PULLER - FOR PITMAN ARM,, 753.00 ,18%,, 587.11 ,,EA,,TELCO,TATA,,,,,,,,,,,,82059090,,,
0428910236J,SLEEVE,, 33.00 ,18%,, 25.73 ,,EA,,TELCO,TATA,,,,,,,,,,,,87089900,,,
430211049,NOZZLE W/HOLDER,," 1,017.00 ",18%,, 792.95 ,,EA,,TELCO,TATA,,,,,,,,,,,,87089900,,,
460494418,F INJ PUMP W/KSB EXP TC,," 51,756.00 ",18%,," 40,354.15 ",,EA,,TELCO,TATA,,,,,,,,,,,,84131191,,,
10261060,SEALING GASKET,, 21.00 ,18%,, 16.37 ,,EA,,TELCO,TATA,,,,,,,,,,,,84841090,,,
10263160,SEALING GASKET,, 28.00 ,18%,, 21.83 ,,EA,,TELCO,TATA,,,,,,,,,,,,40169340,,,
10269550,PLUG,, 37.00 ,18%,, 28.85 ,,EA,,TELCO,TATA,Vista/Manza,,,,,,,,,,,87089900,,,
10269701,PLUG,, 71.00 ,18%,, 55.36 ,,EA,,TELCO,TATA,Vista/Manza,,,,,,,,,,,87089900,,,
10273111,PLUG,, 244.00 ,18%,, 190.25 ,,EA,,TELCO,TATA,Vista/Manza,,,,,,,,,,,87089900,,,
10298060,SEALING GASKET,, 47.00 ,18%,, 36.65 ,,EA,,TELCO,TATA,Vista/Manza,,,,,,,,,,,40169340,,,
10556721,SCREW AND WASHER,, 177.00 ,18%,, 138.01 ,,EA,,TELCO,TATA,Vista/Manza,,,,,,,,,,,87089900,,,
10561421,STUD,, 58.00 ,18%,, 45.22 ,,EA,,TELCO,TATA,Vista/Manza,,,,,,,,,,,87089900,,,
10592470,TAPPET LOCK CONE_H5,, 44.00 ,18%,, 34.31 ,,EA,,TELCO,TATA,Vista/Manza,,,,,,,,,,,84099990,,,
10884187,CLIP,, 290.00 ,18%,, 226.11 ,,EA,,TELCO,TATA,Harrier BS6,,,,,,,,,,,39269099,,,
11063808701,HEX BOLT M8X120 TS17100-8.8-SS8451-8C,, 14.00 ,18%,, 10.92 ,,EA,,TELCO,TATA,,,,,,,,,,,,73181500,,,
11063810306,HEX BOLT M10X30 TS17100-8.8-SS8451-8C,, 7.00 ,18%,, 5.46 ,,EA,,TELCO,TATA,,,,,,,,,,,,87089900,,,
11063812660,HEX BOLT M12X90 TS17100-8.8-SS9400,, 8.00 ,18%,, 6.24 ,,EA,,TELCO,TATA,,,,,,,,,,,,87089900,,,
11063896022,HEX BOLT M10X55 TS17100-8.8 SS8451-8C,, 7.00 ,18%,, 5.46 ,,EA,,TELCO,TATA,,,,,,,,,,,,87089900,,,
11063896065,HEX BOLT M12X95 TS17100-8.8 SS8451-8C,, 27.00 ,18%,, 21.05 ,,EA,,TELCO,TATA,,,,,,,,,,,,87089900,,,
11063896120,HEX BOLT M8X60 TS17100-8.8-SS8451-8C,, 9.00 ,18%,, 7.02 ,,EA,,TELCO,TATA,,,,,,,,,,,,87089900,,,
11063896154,HEX BOLT M12X55 TS17100-8.8 SS8451-8C,, 14.00 ,18%,, 10.92 ,,EA,,TELCO,TATA,,,,,,,,,,,,87089900,,,
11063896197,HEX BOLT M10X50 TS17100-8.8-SS8451S2-Y,, 12.00 ,18%,, 9.36 ,,EA,,TELCO,TATA,,,,,,,,,,,,87089900,,,
11063896316,HEX BOLT M10X125 TS17100-8.8-SS8451S2-Y,, 25.00 ,18%,, 19.49 ,,EA,,TELCO,TATA,,,,,,,,,,,,87089900,,,
11063896324,HEX BOLT M12X125 TS17100-8.8-SS8451-8C,, 40.00 ,18%,, 31.19 ,,EA,,TELCO,TATA,,,,,,,,,,,,87089900,,,
11063896359,HEX BOLT M6X80-IS1364P1-8.8-SS8451-8C,, 69.00 ,18%,, 53.80 ,,EA,,TELCO,TATA,,,,,,,,,,,,87089900,,,
11063896383,HEX BOLT M8X80 TS17100-8.8-SS8451-8C,, 11.00 ,18%,, 8.58 ,,EA,,TELCO,TATA,,,,,,,,,,,,87089900,,,
11063896456,HEX BOLT M6X40 TS17100-8.8-SS8451-8C,, 13.00 ,18%,, 10.14 ,,EA,,TELCO,TATA,,,,,,,,,,,,87089900,,,
11063896464,HEX BOLT M12X50 TS17100-8.8 SS8451-8C,, 11.00 ,18%,, 8.58 ,,EA,,TELCO,TATA,,,,,,,,,,,,87089900,,,
11063896618,HEX BOLT M12X110 TS17100-8.8-SS8451S2-Y,, 32.00 ,18%,, 24.95 ,,EA,,TELCO,TATA,,,,,,,,,,,,87089900,,,
11063896677,HEX BOLT M10X130 TS17100-8.8-SS8451-8C,, 52.00 ,18%,, 40.54 ,,EA,,TELCO,TATA,,,,,,,,,,,,87089900,,,
11063898076,HEX BOLT M8X40 TS17100-8.8-SS8451-8C,, 12.00 ,18%,, 9.36 ,,EA,,TELCO,TATA,,,,,,,,,,,,87089900,,,
